name,function,systematicName,allInteractors.participant.symbol,allInteractors.participant.secondaryIdentifier,allInteractors.biologicalRole,allInteractors.stoichiometry,allInteractors.type,identifier,properties,accession,allInteractors.participant.genes.primaryIdentifier,complex.link
"Small ribosomal subunit processome, variant 2","Required for the processing, assembly and maturation of nascent pre-ribosomal RNA to form the small ribosomal subunit (SSU). The SSU processome is a giant particle composed of numerous ribosome assembly factors, including the UTP-A (CPX-1409), UTP-B (CPX-1410), UTP-C (CPX-772/CPX-771/CPX-773) and MPP10 (CPX-1893) complexes, the U3 small nucleolar ribonucleoprotein (snoRNP) and many individual proteins. Acts in the nucleolus to cleave the polycistronic precursor pre-rRNA in the 5-prime external transcribed spacer (ETS) sequence and in the internal transcribed spacer 1 (ITS1) sequence, to separate small and large subunit biogenesis. The nascent SSU is then exported from the nucleolus to the cytoplasm, where the final cleavage occurs to form the mature 40S SSU containing the 18S rRNA. The nuclease FCF1 and the molecular motor BMS1 cause structural changes within the mature processome which facilitate the subsequent cleavage reactions.",BMS1:BUD21:2xCKA1:CKB1:CKB2:DBP8:DHR2:DIP2:ECM16:EMG1:ENP1:ESF1:ESF2:FAL1:FCF1:FYV7:HAS1:HCA4:KRR1:LCP5:LTV1:MRD1:MRT4:NOC4:NOP1:NOP6:NOP14:NOP19:NOP56:NOP58:NOP9:NSR1:POL5:PRP43:PWP2:PXR1:ROK1:RRP3:RRP5:RRP7:RRP9:RRP36:SAS10:SEN1:SGD1:SLX9:SNU13:SOF1:UTP4,Rrp36p,YOR287C,unspecified role,?,protein,EBI:EBI-16720423,"UTP-A (CPX-1409) forms the base of the SSU processome, where it acts as a central scaffold that recognizes the first three helices of the 5-prime ETS. U3 snoRNA occupies a central position within the SSU processome and reaches from the outside into the core of the particle. By base-pairing with its 5-prime and 3-prime hinges to nucleotides within the 5-prime ETS, it rigidifies the structural scaffold provided by the 5-prime ETS. The 5-prime end of U3 snoRNA reaches further into the center of the SSU processome and base-pairs with two regions of the pre-18S rRNA. The GTPase BMS1 and the MPP10 complex (CPX-1893) are positioned in the core of the SSU processome",CPX-1607,SGD:S000005813,https://www.yeastgenome.org/complex/CPX-1607
"Small ribosomal subunit processome, variant 2","Required for the processing, assembly and maturation of nascent pre-ribosomal RNA to form the small ribosomal subunit (SSU). The SSU processome is a giant particle composed of numerous ribosome assembly factors, including the UTP-A (CPX-1409), UTP-B (CPX-1410), UTP-C (CPX-772/CPX-771/CPX-773) and MPP10 (CPX-1893) complexes, the U3 small nucleolar ribonucleoprotein (snoRNP) and many individual proteins. Acts in the nucleolus to cleave the polycistronic precursor pre-rRNA in the 5-prime external transcribed spacer (ETS) sequence and in the internal transcribed spacer 1 (ITS1) sequence, to separate small and large subunit biogenesis. The nascent SSU is then exported from the nucleolus to the cytoplasm, where the final cleavage occurs to form the mature 40S SSU containing the 18S rRNA. The nuclease FCF1 and the molecular motor BMS1 cause structural changes within the mature processome which facilitate the subsequent cleavage reactions.",BMS1:BUD21:2xCKA1:CKB1:CKB2:DBP8:DHR2:DIP2:ECM16:EMG1:ENP1:ESF1:ESF2:FAL1:FCF1:FYV7:HAS1:HCA4:KRR1:LCP5:LTV1:MRD1:MRT4:NOC4:NOP1:NOP6:NOP14:NOP19:NOP56:NOP58:NOP9:NSR1:POL5:PRP43:PWP2:PXR1:ROK1:RRP3:RRP5:RRP7:RRP9:RRP36:SAS10:SEN1:SGD1:SLX9:SNU13:SOF1:UTP4,Rrp3p,YHR065C,unspecified role,?,protein,EBI:EBI-16720423,"UTP-A (CPX-1409) forms the base of the SSU processome, where it acts as a central scaffold that recognizes the first three helices of the 5-prime ETS. U3 snoRNA occupies a central position within the SSU processome and reaches from the outside into the core of the particle. By base-pairing with its 5-prime and 3-prime hinges to nucleotides within the 5-prime ETS, it rigidifies the structural scaffold provided by the 5-prime ETS. The 5-prime end of U3 snoRNA reaches further into the center of the SSU processome and base-pairs with two regions of the pre-18S rRNA. The GTPase BMS1 and the MPP10 complex (CPX-1893) are positioned in the core of the SSU processome",CPX-1607,SGD:S000001107,https://www.yeastgenome.org/complex/CPX-1607
"Small ribosomal subunit processome, variant 2","Required for the processing, assembly and maturation of nascent pre-ribosomal RNA to form the small ribosomal subunit (SSU). The SSU processome is a giant particle composed of numerous ribosome assembly factors, including the UTP-A (CPX-1409), UTP-B (CPX-1410), UTP-C (CPX-772/CPX-771/CPX-773) and MPP10 (CPX-1893) complexes, the U3 small nucleolar ribonucleoprotein (snoRNP) and many individual proteins. Acts in the nucleolus to cleave the polycistronic precursor pre-rRNA in the 5-prime external transcribed spacer (ETS) sequence and in the internal transcribed spacer 1 (ITS1) sequence, to separate small and large subunit biogenesis. The nascent SSU is then exported from the nucleolus to the cytoplasm, where the final cleavage occurs to form the mature 40S SSU containing the 18S rRNA. The nuclease FCF1 and the molecular motor BMS1 cause structural changes within the mature processome which facilitate the subsequent cleavage reactions.",BMS1:BUD21:2xCKA1:CKB1:CKB2:DBP8:DHR2:DIP2:ECM16:EMG1:ENP1:ESF1:ESF2:FAL1:FCF1:FYV7:HAS1:HCA4:KRR1:LCP5:LTV1:MRD1:MRT4:NOC4:NOP1:NOP6:NOP14:NOP19:NOP56:NOP58:NOP9:NSR1:POL5:PRP43:PWP2:PXR1:ROK1:RRP3:RRP5:RRP7:RRP9:RRP36:SAS10:SEN1:SGD1:SLX9:SNU13:SOF1:UTP4,Rrp5p,YMR229C,?,?,protein,EBI:EBI-16720423,"UTP-A (CPX-1409) forms the base of the SSU processome, where it acts as a central scaffold that recognizes the first three helices of the 5-prime ETS. U3 snoRNA occupies a central position within the SSU processome and reaches from the outside into the core of the particle. By base-pairing with its 5-prime and 3-prime hinges to nucleotides within the 5-prime ETS, it rigidifies the structural scaffold provided by the 5-prime ETS. The 5-prime end of U3 snoRNA reaches further into the center of the SSU processome and base-pairs with two regions of the pre-18S rRNA. The GTPase BMS1 and the MPP10 complex (CPX-1893) are positioned in the core of the SSU processome",CPX-1607,SGD:S000004842,https://www.yeastgenome.org/complex/CPX-1607
"Small ribosomal subunit processome, variant 2","Required for the processing, assembly and maturation of nascent pre-ribosomal RNA to form the small ribosomal subunit (SSU). The SSU processome is a giant particle composed of numerous ribosome assembly factors, including the UTP-A (CPX-1409), UTP-B (CPX-1410), UTP-C (CPX-772/CPX-771/CPX-773) and MPP10 (CPX-1893) complexes, the U3 small nucleolar ribonucleoprotein (snoRNP) and many individual proteins. Acts in the nucleolus to cleave the polycistronic precursor pre-rRNA in the 5-prime external transcribed spacer (ETS) sequence and in the internal transcribed spacer 1 (ITS1) sequence, to separate small and large subunit biogenesis. The nascent SSU is then exported from the nucleolus to the cytoplasm, where the final cleavage occurs to form the mature 40S SSU containing the 18S rRNA. The nuclease FCF1 and the molecular motor BMS1 cause structural changes within the mature processome which facilitate the subsequent cleavage reactions.",BMS1:BUD21:2xCKA1:CKB1:CKB2:DBP8:DHR2:DIP2:ECM16:EMG1:ENP1:ESF1:ESF2:FAL1:FCF1:FYV7:HAS1:HCA4:KRR1:LCP5:LTV1:MRD1:MRT4:NOC4:NOP1:NOP6:NOP14:NOP19:NOP56:NOP58:NOP9:NSR1:POL5:PRP43:PWP2:PXR1:ROK1:RRP3:RRP5:RRP7:RRP9:RRP36:SAS10:SEN1:SGD1:SLX9:SNU13:SOF1:UTP4,Rrp9p,YPR137W,unspecified role,?,protein,EBI:EBI-16720423,"UTP-A (CPX-1409) forms the base of the SSU processome, where it acts as a central scaffold that recognizes the first three helices of the 5-prime ETS. U3 snoRNA occupies a central position within the SSU processome and reaches from the outside into the core of the particle. By base-pairing with its 5-prime and 3-prime hinges to nucleotides within the 5-prime ETS, it rigidifies the structural scaffold provided by the 5-prime ETS. The 5-prime end of U3 snoRNA reaches further into the center of the SSU processome and base-pairs with two regions of the pre-18S rRNA. The GTPase BMS1 and the MPP10 complex (CPX-1893) are positioned in the core of the SSU processome",CPX-1607,SGD:S000006341,https://www.yeastgenome.org/complex/CPX-1607
"Small ribosomal subunit processome, variant 2","Required for the processing, assembly and maturation of nascent pre-ribosomal RNA to form the small ribosomal subunit (SSU). The SSU processome is a giant particle composed of numerous ribosome assembly factors, including the UTP-A (CPX-1409), UTP-B (CPX-1410), UTP-C (CPX-772/CPX-771/CPX-773) and MPP10 (CPX-1893) complexes, the U3 small nucleolar ribonucleoprotein (snoRNP) and many individual proteins. Acts in the nucleolus to cleave the polycistronic precursor pre-rRNA in the 5-prime external transcribed spacer (ETS) sequence and in the internal transcribed spacer 1 (ITS1) sequence, to separate small and large subunit biogenesis. The nascent SSU is then exported from the nucleolus to the cytoplasm, where the final cleavage occurs to form the mature 40S SSU containing the 18S rRNA. The nuclease FCF1 and the molecular motor BMS1 cause structural changes within the mature processome which facilitate the subsequent cleavage reactions.",BMS1:BUD21:2xCKA1:CKB1:CKB2:DBP8:DHR2:DIP2:ECM16:EMG1:ENP1:ESF1:ESF2:FAL1:FCF1:FYV7:HAS1:HCA4:KRR1:LCP5:LTV1:MRD1:MRT4:NOC4:NOP1:NOP6:NOP14:NOP19:NOP56:NOP58:NOP9:NSR1:POL5:PRP43:PWP2:PXR1:ROK1:RRP3:RRP5:RRP7:RRP9:RRP36:SAS10:SEN1:SGD1:SLX9:SNU13:SOF1:UTP4,Sas10p,YDL153C,unspecified role,?,protein,EBI:EBI-16720423,"UTP-A (CPX-1409) forms the base of the SSU processome, where it acts as a central scaffold that recognizes the first three helices of the 5-prime ETS. U3 snoRNA occupies a central position within the SSU processome and reaches from the outside into the core of the particle. By base-pairing with its 5-prime and 3-prime hinges to nucleotides within the 5-prime ETS, it rigidifies the structural scaffold provided by the 5-prime ETS. The 5-prime end of U3 snoRNA reaches further into the center of the SSU processome and base-pairs with two regions of the pre-18S rRNA. The GTPase BMS1 and the MPP10 complex (CPX-1893) are positioned in the core of the SSU processome",CPX-1607,SGD:S000002312,https://www.yeastgenome.org/complex/CPX-1607
"Small ribosomal subunit processome, variant 2","Required for the processing, assembly and maturation of nascent pre-ribosomal RNA to form the small ribosomal subunit (SSU). The SSU processome is a giant particle composed of numerous ribosome assembly factors, including the UTP-A (CPX-1409), UTP-B (CPX-1410), UTP-C (CPX-772/CPX-771/CPX-773) and MPP10 (CPX-1893) complexes, the U3 small nucleolar ribonucleoprotein (snoRNP) and many individual proteins. Acts in the nucleolus to cleave the polycistronic precursor pre-rRNA in the 5-prime external transcribed spacer (ETS) sequence and in the internal transcribed spacer 1 (ITS1) sequence, to separate small and large subunit biogenesis. The nascent SSU is then exported from the nucleolus to the cytoplasm, where the final cleavage occurs to form the mature 40S SSU containing the 18S rRNA. The nuclease FCF1 and the molecular motor BMS1 cause structural changes within the mature processome which facilitate the subsequent cleavage reactions.",BMS1:BUD21:2xCKA1:CKB1:CKB2:DBP8:DHR2:DIP2:ECM16:EMG1:ENP1:ESF1:ESF2:FAL1:FCF1:FYV7:HAS1:HCA4:KRR1:LCP5:LTV1:MRD1:MRT4:NOC4:NOP1:NOP6:NOP14:NOP19:NOP56:NOP58:NOP9:NSR1:POL5:PRP43:PWP2:PXR1:ROK1:RRP3:RRP5:RRP7:RRP9:RRP36:SAS10:SEN1:SGD1:SLX9:SNU13:SOF1:UTP4,Sen1p,YLR430W,?,?,protein,EBI:EBI-16720423,"UTP-A (CPX-1409) forms the base of the SSU processome, where it acts as a central scaffold that recognizes the first three helices of the 5-prime ETS. U3 snoRNA occupies a central position within the SSU processome and reaches from the outside into the core of the particle. By base-pairing with its 5-prime and 3-prime hinges to nucleotides within the 5-prime ETS, it rigidifies the structural scaffold provided by the 5-prime ETS. The 5-prime end of U3 snoRNA reaches further into the center of the SSU processome and base-pairs with two regions of the pre-18S rRNA. The GTPase BMS1 and the MPP10 complex (CPX-1893) are positioned in the core of the SSU processome",CPX-1607,SGD:S000004422,https://www.yeastgenome.org/complex/CPX-1607
"Small ribosomal subunit processome, variant 2","Required for the processing, assembly and maturation of nascent pre-ribosomal RNA to form the small ribosomal subunit (SSU). The SSU processome is a giant particle composed of numerous ribosome assembly factors, including the UTP-A (CPX-1409), UTP-B (CPX-1410), UTP-C (CPX-772/CPX-771/CPX-773) and MPP10 (CPX-1893) complexes, the U3 small nucleolar ribonucleoprotein (snoRNP) and many individual proteins. Acts in the nucleolus to cleave the polycistronic precursor pre-rRNA in the 5-prime external transcribed spacer (ETS) sequence and in the internal transcribed spacer 1 (ITS1) sequence, to separate small and large subunit biogenesis. The nascent SSU is then exported from the nucleolus to the cytoplasm, where the final cleavage occurs to form the mature 40S SSU containing the 18S rRNA. The nuclease FCF1 and the molecular motor BMS1 cause structural changes within the mature processome which facilitate the subsequent cleavage reactions.",BMS1:BUD21:2xCKA1:CKB1:CKB2:DBP8:DHR2:DIP2:ECM16:EMG1:ENP1:ESF1:ESF2:FAL1:FCF1:FYV7:HAS1:HCA4:KRR1:LCP5:LTV1:MRD1:MRT4:NOC4:NOP1:NOP6:NOP14:NOP19:NOP56:NOP58:NOP9:NSR1:POL5:PRP43:PWP2:PXR1:ROK1:RRP3:RRP5:RRP7:RRP9:RRP36:SAS10:SEN1:SGD1:SLX9:SNU13:SOF1:UTP4,Sgd1p,YLR336C,unspecified role,?,protein,EBI:EBI-16720423,"UTP-A (CPX-1409) forms the base of the SSU processome, where it acts as a central scaffold that recognizes the first three helices of the 5-prime ETS. U3 snoRNA occupies a central position within the SSU processome and reaches from the outside into the core of the particle. By base-pairing with its 5-prime and 3-prime hinges to nucleotides within the 5-prime ETS, it rigidifies the structural scaffold provided by the 5-prime ETS. The 5-prime end of U3 snoRNA reaches further into the center of the SSU processome and base-pairs with two regions of the pre-18S rRNA. The GTPase BMS1 and the MPP10 complex (CPX-1893) are positioned in the core of the SSU processome",CPX-1607,SGD:S000004328,https://www.yeastgenome.org/complex/CPX-1607
"Small ribosomal subunit processome, variant 2","Required for the processing, assembly and maturation of nascent pre-ribosomal RNA to form the small ribosomal subunit (SSU). The SSU processome is a giant particle composed of numerous ribosome assembly factors, including the UTP-A (CPX-1409), UTP-B (CPX-1410), UTP-C (CPX-772/CPX-771/CPX-773) and MPP10 (CPX-1893) complexes, the U3 small nucleolar ribonucleoprotein (snoRNP) and many individual proteins. Acts in the nucleolus to cleave the polycistronic precursor pre-rRNA in the 5-prime external transcribed spacer (ETS) sequence and in the internal transcribed spacer 1 (ITS1) sequence, to separate small and large subunit biogenesis. The nascent SSU is then exported from the nucleolus to the cytoplasm, where the final cleavage occurs to form the mature 40S SSU containing the 18S rRNA. The nuclease FCF1 and the molecular motor BMS1 cause structural changes within the mature processome which facilitate the subsequent cleavage reactions.",BMS1:BUD21:2xCKA1:CKB1:CKB2:DBP8:DHR2:DIP2:ECM16:EMG1:ENP1:ESF1:ESF2:FAL1:FCF1:FYV7:HAS1:HCA4:KRR1:LCP5:LTV1:MRD1:MRT4:NOC4:NOP1:NOP6:NOP14:NOP19:NOP56:NOP58:NOP9:NSR1:POL5:PRP43:PWP2:PXR1:ROK1:RRP3:RRP5:RRP7:RRP9:RRP36:SAS10:SEN1:SGD1:SLX9:SNU13:SOF1:UTP4,Slx9p,YGR081C,unspecified role,?,protein,EBI:EBI-16720423,"UTP-A (CPX-1409) forms the base of the SSU processome, where it acts as a central scaffold that recognizes the first three helices of the 5-prime ETS. U3 snoRNA occupies a central position within the SSU processome and reaches from the outside into the core of the particle. By base-pairing with its 5-prime and 3-prime hinges to nucleotides within the 5-prime ETS, it rigidifies the structural scaffold provided by the 5-prime ETS. The 5-prime end of U3 snoRNA reaches further into the center of the SSU processome and base-pairs with two regions of the pre-18S rRNA. The GTPase BMS1 and the MPP10 complex (CPX-1893) are positioned in the core of the SSU processome",CPX-1607,SGD:S000003313,https://www.yeastgenome.org/complex/CPX-1607
"Small ribosomal subunit processome, variant 2","Required for the processing, assembly and maturation of nascent pre-ribosomal RNA to form the small ribosomal subunit (SSU). The SSU processome is a giant particle composed of numerous ribosome assembly factors, including the UTP-A (CPX-1409), UTP-B (CPX-1410), UTP-C (CPX-772/CPX-771/CPX-773) and MPP10 (CPX-1893) complexes, the U3 small nucleolar ribonucleoprotein (snoRNP) and many individual proteins. Acts in the nucleolus to cleave the polycistronic precursor pre-rRNA in the 5-prime external transcribed spacer (ETS) sequence and in the internal transcribed spacer 1 (ITS1) sequence, to separate small and large subunit biogenesis. The nascent SSU is then exported from the nucleolus to the cytoplasm, where the final cleavage occurs to form the mature 40S SSU containing the 18S rRNA. The nuclease FCF1 and the molecular motor BMS1 cause structural changes within the mature processome which facilitate the subsequent cleavage reactions.",BMS1:BUD21:2xCKA1:CKB1:CKB2:DBP8:DHR2:DIP2:ECM16:EMG1:ENP1:ESF1:ESF2:FAL1:FCF1:FYV7:HAS1:HCA4:KRR1:LCP5:LTV1:MRD1:MRT4:NOC4:NOP1:NOP6:NOP14:NOP19:NOP56:NOP58:NOP9:NSR1:POL5:PRP43:PWP2:PXR1:ROK1:RRP3:RRP5:RRP7:RRP9:RRP36:SAS10:SEN1:SGD1:SLX9:SNU13:SOF1:UTP4,Snu13p,YEL026W,unspecified role,?,protein,EBI:EBI-16720423,"UTP-A (CPX-1409) forms the base of the SSU processome, where it acts as a central scaffold that recognizes the first three helices of the 5-prime ETS. U3 snoRNA occupies a central position within the SSU processome and reaches from the outside into the core of the particle. By base-pairing with its 5-prime and 3-prime hinges to nucleotides within the 5-prime ETS, it rigidifies the structural scaffold provided by the 5-prime ETS. The 5-prime end of U3 snoRNA reaches further into the center of the SSU processome and base-pairs with two regions of the pre-18S rRNA. The GTPase BMS1 and the MPP10 complex (CPX-1893) are positioned in the core of the SSU processome",CPX-1607,SGD:S000000752,https://www.yeastgenome.org/complex/CPX-1607
"Small ribosomal subunit processome, variant 2","Required for the processing, assembly and maturation of nascent pre-ribosomal RNA to form the small ribosomal subunit (SSU). The SSU processome is a giant particle composed of numerous ribosome assembly factors, including the UTP-A (CPX-1409), UTP-B (CPX-1410), UTP-C (CPX-772/CPX-771/CPX-773) and MPP10 (CPX-1893) complexes, the U3 small nucleolar ribonucleoprotein (snoRNP) and many individual proteins. Acts in the nucleolus to cleave the polycistronic precursor pre-rRNA in the 5-prime external transcribed spacer (ETS) sequence and in the internal transcribed spacer 1 (ITS1) sequence, to separate small and large subunit biogenesis. The nascent SSU is then exported from the nucleolus to the cytoplasm, where the final cleavage occurs to form the mature 40S SSU containing the 18S rRNA. The nuclease FCF1 and the molecular motor BMS1 cause structural changes within the mature processome which facilitate the subsequent cleavage reactions.",BMS1:BUD21:2xCKA1:CKB1:CKB2:DBP8:DHR2:DIP2:ECM16:EMG1:ENP1:ESF1:ESF2:FAL1:FCF1:FYV7:HAS1:HCA4:KRR1:LCP5:LTV1:MRD1:MRT4:NOC4:NOP1:NOP6:NOP14:NOP19:NOP56:NOP58:NOP9:NSR1:POL5:PRP43:PWP2:PXR1:ROK1:RRP3:RRP5:RRP7:RRP9:RRP36:SAS10:SEN1:SGD1:SLX9:SNU13:SOF1:UTP4,Sof1p,YLL011W,unspecified role,?,protein,EBI:EBI-16720423,"UTP-A (CPX-1409) forms the base of the SSU processome, where it acts as a central scaffold that recognizes the first three helices of the 5-prime ETS. U3 snoRNA occupies a central position within the SSU processome and reaches from the outside into the core of the particle. By base-pairing with its 5-prime and 3-prime hinges to nucleotides within the 5-prime ETS, it rigidifies the structural scaffold provided by the 5-prime ETS. The 5-prime end of U3 snoRNA reaches further into the center of the SSU processome and base-pairs with two regions of the pre-18S rRNA. The GTPase BMS1 and the MPP10 complex (CPX-1893) are positioned in the core of the SSU processome",CPX-1607,SGD:S000003934,https://www.yeastgenome.org/complex/CPX-1607
"Small ribosomal subunit processome, variant 2","Required for the processing, assembly and maturation of nascent pre-ribosomal RNA to form the small ribosomal subunit (SSU). The SSU processome is a giant particle composed of numerous ribosome assembly factors, including the UTP-A (CPX-1409), UTP-B (CPX-1410), UTP-C (CPX-772/CPX-771/CPX-773) and MPP10 (CPX-1893) complexes, the U3 small nucleolar ribonucleoprotein (snoRNP) and many individual proteins. Acts in the nucleolus to cleave the polycistronic precursor pre-rRNA in the 5-prime external transcribed spacer (ETS) sequence and in the internal transcribed spacer 1 (ITS1) sequence, to separate small and large subunit biogenesis. The nascent SSU is then exported from the nucleolus to the cytoplasm, where the final cleavage occurs to form the mature 40S SSU containing the 18S rRNA. The nuclease FCF1 and the molecular motor BMS1 cause structural changes within the mature processome which facilitate the subsequent cleavage reactions.",BMS1:BUD21:2xCKA1:CKB1:CKB2:DBP8:DHR2:DIP2:ECM16:EMG1:ENP1:ESF1:ESF2:FAL1:FCF1:FYV7:HAS1:HCA4:KRR1:LCP5:LTV1:MRD1:MRT4:NOC4:NOP1:NOP6:NOP14:NOP19:NOP56:NOP58:NOP9:NSR1:POL5:PRP43:PWP2:PXR1:ROK1:RRP3:RRP5:RRP7:RRP9:RRP36:SAS10:SEN1:SGD1:SLX9:SNU13:SOF1:UTP4,Utp11p,YKL099C,unspecified role,?,protein,EBI:EBI-16720423,"UTP-A (CPX-1409) forms the base of the SSU processome, where it acts as a central scaffold that recognizes the first three helices of the 5-prime ETS. U3 snoRNA occupies a central position within the SSU processome and reaches from the outside into the core of the particle. By base-pairing with its 5-prime and 3-prime hinges to nucleotides within the 5-prime ETS, it rigidifies the structural scaffold provided by the 5-prime ETS. The 5-prime end of U3 snoRNA reaches further into the center of the SSU processome and base-pairs with two regions of the pre-18S rRNA. The GTPase BMS1 and the MPP10 complex (CPX-1893) are positioned in the core of the SSU processome",CPX-1607,SGD:S000001582,https://www.yeastgenome.org/complex/CPX-1607
"Small ribosomal subunit processome, variant 2","Required for the processing, assembly and maturation of nascent pre-ribosomal RNA to form the small ribosomal subunit (SSU). The SSU processome is a giant particle composed of numerous ribosome assembly factors, including the UTP-A (CPX-1409), UTP-B (CPX-1410), UTP-C (CPX-772/CPX-771/CPX-773) and MPP10 (CPX-1893) complexes, the U3 small nucleolar ribonucleoprotein (snoRNP) and many individual proteins. Acts in the nucleolus to cleave the polycistronic precursor pre-rRNA in the 5-prime external transcribed spacer (ETS) sequence and in the internal transcribed spacer 1 (ITS1) sequence, to separate small and large subunit biogenesis. The nascent SSU is then exported from the nucleolus to the cytoplasm, where the final cleavage occurs to form the mature 40S SSU containing the 18S rRNA. The nuclease FCF1 and the molecular motor BMS1 cause structural changes within the mature processome which facilitate the subsequent cleavage reactions.",BMS1:BUD21:2xCKA1:CKB1:CKB2:DBP8:DHR2:DIP2:ECM16:EMG1:ENP1:ESF1:ESF2:FAL1:FCF1:FYV7:HAS1:HCA4:KRR1:LCP5:LTV1:MRD1:MRT4:NOC4:NOP1:NOP6:NOP14:NOP19:NOP56:NOP58:NOP9:NSR1:POL5:PRP43:PWP2:PXR1:ROK1:RRP3:RRP5:RRP7:RRP9:RRP36:SAS10:SEN1:SGD1:SLX9:SNU13:SOF1:UTP4,Utp14p,YML093W,unspecified role,?,protein,EBI:EBI-16720423,"UTP-A (CPX-1409) forms the base of the SSU processome, where it acts as a central scaffold that recognizes the first three helices of the 5-prime ETS. U3 snoRNA occupies a central position within the SSU processome and reaches from the outside into the core of the particle. By base-pairing with its 5-prime and 3-prime hinges to nucleotides within the 5-prime ETS, it rigidifies the structural scaffold provided by the 5-prime ETS. The 5-prime end of U3 snoRNA reaches further into the center of the SSU processome and base-pairs with two regions of the pre-18S rRNA. The GTPase BMS1 and the MPP10 complex (CPX-1893) are positioned in the core of the SSU processome",CPX-1607,SGD:S000004558,https://www.yeastgenome.org/complex/CPX-1607
"Small ribosomal subunit processome, variant 2","Required for the processing, assembly and maturation of nascent pre-ribosomal RNA to form the small ribosomal subunit (SSU). The SSU processome is a giant particle composed of numerous ribosome assembly factors, including the UTP-A (CPX-1409), UTP-B (CPX-1410), UTP-C (CPX-772/CPX-771/CPX-773) and MPP10 (CPX-1893) complexes, the U3 small nucleolar ribonucleoprotein (snoRNP) and many individual proteins. Acts in the nucleolus to cleave the polycistronic precursor pre-rRNA in the 5-prime external transcribed spacer (ETS) sequence and in the internal transcribed spacer 1 (ITS1) sequence, to separate small and large subunit biogenesis. The nascent SSU is then exported from the nucleolus to the cytoplasm, where the final cleavage occurs to form the mature 40S SSU containing the 18S rRNA. The nuclease FCF1 and the molecular motor BMS1 cause structural changes within the mature processome which facilitate the subsequent cleavage reactions.",BMS1:BUD21:2xCKA1:CKB1:CKB2:DBP8:DHR2:DIP2:ECM16:EMG1:ENP1:ESF1:ESF2:FAL1:FCF1:FYV7:HAS1:HCA4:KRR1:LCP5:LTV1:MRD1:MRT4:NOC4:NOP1:NOP6:NOP14:NOP19:NOP56:NOP58:NOP9:NSR1:POL5:PRP43:PWP2:PXR1:ROK1:RRP3:RRP5:RRP7:RRP9:RRP36:SAS10:SEN1:SGD1:SLX9:SNU13:SOF1:UTP4,Utp20p,YBL004W,?,?,protein,EBI:EBI-16720423,"UTP-A (CPX-1409) forms the base of the SSU processome, where it acts as a central scaffold that recognizes the first three helices of the 5-prime ETS. U3 snoRNA occupies a central position within the SSU processome and reaches from the outside into the core of the particle. By base-pairing with its 5-prime and 3-prime hinges to nucleotides within the 5-prime ETS, it rigidifies the structural scaffold provided by the 5-prime ETS. The 5-prime end of U3 snoRNA reaches further into the center of the SSU processome and base-pairs with two regions of the pre-18S rRNA. The GTPase BMS1 and the MPP10 complex (CPX-1893) are positioned in the core of the SSU processome",CPX-1607,SGD:S000000100,https://www.yeastgenome.org/complex/CPX-1607
"Small ribosomal subunit processome, variant 2","Required for the processing, assembly and maturation of nascent pre-ribosomal RNA to form the small ribosomal subunit (SSU). The SSU processome is a giant particle composed of numerous ribosome assembly factors, including the UTP-A (CPX-1409), UTP-B (CPX-1410), UTP-C (CPX-772/CPX-771/CPX-773) and MPP10 (CPX-1893) complexes, the U3 small nucleolar ribonucleoprotein (snoRNP) and many individual proteins. Acts in the nucleolus to cleave the polycistronic precursor pre-rRNA in the 5-prime external transcribed spacer (ETS) sequence and in the internal transcribed spacer 1 (ITS1) sequence, to separate small and large subunit biogenesis. The nascent SSU is then exported from the nucleolus to the cytoplasm, where the final cleavage occurs to form the mature 40S SSU containing the 18S rRNA. The nuclease FCF1 and the molecular motor BMS1 cause structural changes within the mature processome which facilitate the subsequent cleavage reactions.",BMS1:BUD21:2xCKA1:CKB1:CKB2:DBP8:DHR2:DIP2:ECM16:EMG1:ENP1:ESF1:ESF2:FAL1:FCF1:FYV7:HAS1:HCA4:KRR1:LCP5:LTV1:MRD1:MRT4:NOC4:NOP1:NOP6:NOP14:NOP19:NOP56:NOP58:NOP9:NSR1:POL5:PRP43:PWP2:PXR1:ROK1:RRP3:RRP5:RRP7:RRP9:RRP36:SAS10:SEN1:SGD1:SLX9:SNU13:SOF1:UTP4,Utp23p,YOR004W,unspecified role,?,protein,EBI:EBI-16720423,"UTP-A (CPX-1409) forms the base of the SSU processome, where it acts as a central scaffold that recognizes the first three helices of the 5-prime ETS. U3 snoRNA occupies a central position within the SSU processome and reaches from the outside into the core of the particle. By base-pairing with its 5-prime and 3-prime hinges to nucleotides within the 5-prime ETS, it rigidifies the structural scaffold provided by the 5-prime ETS. The 5-prime end of U3 snoRNA reaches further into the center of the SSU processome and base-pairs with two regions of the pre-18S rRNA. The GTPase BMS1 and the MPP10 complex (CPX-1893) are positioned in the core of the SSU processome",CPX-1607,SGD:S000005530,https://www.yeastgenome.org/complex/CPX-1607
