primaryIdentifier,secondaryIdentifier,symbol,name,sgdAlias,briefDescription,chromosome.primaryIdentifier,chromosomeLocation.start,chromosomeLocation.end,chromosomeLocation.strand,organism.shortName,featureType,gene.link
SGD:S000005787,YOR261C,RPN8,Regulatory Particle Non-ATPase,proteasome regulatory particle lid subunit RPN8,Essential non-ATPase regulatory subunit of the 26S proteasome,chrXV,815915,816931,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000005787
SGD:S000006312,YPR108W,RPN7,Regulatory Particle Non-ATPase,proteasome regulatory particle lid subunit RPN7,Essential non-ATPase regulatory subunit of the 26S proteasome,chrXVI,742454,743743,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000006312
SGD:S000000823,YER021W,RPN3,Regulatory Particle Non-ATPase,proteasome regulatory particle lid subunit RPN3|SUN2,Essential non-ATPase regulatory subunit of the 26S proteasome lid,chrV,196948,198519,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000000823
SGD:S000002255,YDL097C,RPN6,Regulatory Particle Non-ATPase,NAS4|proteasome regulatory particle lid subunit RPN6,"Essential, non-ATPase regulatory subunit of the 26S proteasome lid",chrIV,285391,286695,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000002255
SGD:S000002325,YDL166C,FAP7,Factor Activating Pos9,nucleoside-triphosphatase,Essential NTPase required for small ribosome subunit synthesis,chrIV,163449,164042,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000002325
SGD:S000002769,YDR361C,BCP1,?,protein-transporting protein BCP1,Essential nuclear chaperone for ribosomal protein Rpl23p,chrIV,1195412,1196263,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000002769
SGD:S000001078,YHR036W,BRL1,BRr6 Like protein,?,Essential nuclear envelope/ER integral membrane protein,chrVIII,180345,181760,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000001078
SGD:S000003216,YGL247W,BRR6,Bad Response to Refrigeration,?,Essential nuclear envelope integral membrane protein,chrVII,36933,37526,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000003216
SGD:S000000023,YAL025C,MAK16,MAintenance of Killer,ribosome biosynthesis protein MAK16,Essential nuclear protein,chrI,100225,101145,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000000023
SGD:S000004328,YLR336C,SGD1,Suppressor of Glycerol Defect,?,Essential nuclear protein,chrXII,799697,802396,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000004328
SGD:S000000346,YBR142W,MAK5,MAintenance of Killer,putative ATP-dependent RNA helicase,Essential nucleolar protein,chrII,528317,530638,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000000346
SGD:S000005337,YNR054C,ESF2,Eighteen S rRNA Factor 2,ABT1|RNA-binding ATPase activator ESF2,Essential nucleolar protein involved in pre-18S rRNA processing,chrXIV,723356,724306,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000005337
SGD:S000005252,YNL308C,KRI1,KRR1-Interacting protein,?,Essential nucleolar protein required for 40S ribosome biogenesis,chrXIV,54122,55897,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000005252
SGD:S000005671,YOR145C,PNO1,Partner of NOb1,DIM2|RRP20,Essential nucleolar protein required for pre-18S rRNA processing,chrXV,605347,606171,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000005671
SGD:S000002245,YDL087C,LUC7,Lethal Unless Cap-binding complex is produced,EPE1|EXM2,Essential protein associated with the U1 snRNP complex,chrIV,300214,300999,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000002245
SGD:S000001565,YKL082C,RRP14,Ribosomal RNA Processing,ribosome biosynthesis protein RRP14,"Essential protein, constituent of 66S pre-ribosomal particles",chrXI,281025,282329,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000001565
SGD:S000000929,YER127W,LCP5,Lethal with Conditional Pap1,?,Essential protein involved in maturation of 18S rRNA,chrV,414481,415554,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000000929
SGD:S000004824,YMR211W,DML1,Drosophila melanogaster Misato-Like protein,?,Essential protein involved in mtDNA inheritance,chrXIII,689083,690510,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000004824
SGD:S000006003,YPL082C,MOT1,Modifier of Transcription,BTAF1|BUR3|DNA-binding ATPase|END10|LPF4,Essential protein involved in regulation of transcription,chrXVI,398480,404083,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000006003
SGD:S000005321,YNR038W,DBP6,Dead Box Protein,putative ATP-dependent RNA helicase DBP6,Essential protein involved in ribosome biogenesis,chrXIV,695595,697484,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000005321
SGD:S000003512,YGR280C,PXR1,PinX1-Related gene,GNO1|PinX1|telomerase inhibitor,Essential protein involved in rRNA and snoRNA maturation,chrVII,1050910,1051725,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000003512
SGD:S000001789,YKR081C,RPF2,Ribosome Production Factor,rRNA-binding ribosome biosynthesis protein RPF2,Essential protein involved in rRNA maturation and ribosomal assembly,chrXI,591506,592540,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000001789
SGD:S000000536,YCL031C,RRP7,Ribosomal RNA Processing,?,Essential protein involved in rRNA processing and ribosome biogenesis,chrIII,64675,65568,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000000536
SGD:S000004630,YMR028W,TAP42,Two A phosphatase Associated Protein,?,Essential protein involved in the TOR signaling pathway,chrXIII,327482,328582,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000004630
SGD:S000002216,YDL058W,USO1,yUSOu - transport in Japanese,INT1,Essential protein involved in vesicle-mediated ER to Golgi transport,chrIV,345665,351037,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000002216
SGD:S000000295,YBR091C,TIM12,Translocase of the Inner Membrane,MRS5,Essential protein of the inner mitochondrial membrane,chrII,427155,427484,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000000295
SGD:S000007256,YEL020W-A,TIM9,Translocase of the Inner Mitochondrial membrane,protein transporter TIM9,Essential protein of the mitochondrial intermembrane space,chrV,117211,117474,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000007256
SGD:S000003530,YHR005C-A,TIM10,Translocase of the Inner Membrane,MRS11|protein transporter TIM10,Essential protein of the mitochondrial intermembrane space,chrVIII,115620,115901,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000003530
SGD:S000002659,YDR251W,PAM1,Pp2A Multicopy suppressor,?,Essential protein of unknown function,chrIV,960614,963106,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000002659
SGD:S000000650,YCR054C,CTR86,Copper TRansport protein,?,Essential protein of unknown function,chrIII,218376,220067,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000000650
SGD:S000005093,YNL149C,PGA2,Processing of Gas1p and ALP,?,Essential protein required for maturation of Gas1p and Pho8p,chrXIV,349367,349756,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000005093
SGD:S000001578,YKL095W,YJU2,?,CWC16|mRNA splicing protein YJU2,Essential protein required for pre-mRNA splicing,chrXI,262277,263113,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000001578
SGD:S000003999,YLR009W,RLP24,Ribosomal-Like Protein,ATPase-activating ribosome biosynthesis protein,Essential protein required for ribosomal large subunit biogenesis,chrXII,166537,167136,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000003999
SGD:S000001082,YHR040W,BCD1,Box C/D snoRNA accumulation,?,Essential protein required for the accumulation of box C/D snoRNA,chrVIII,187924,189024,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000001082
SGD:S000002907,YDR499W,LCD1,"Lethal, Checkpoint-defective, DNA damage sensitive",DDC2|PIE1,Essential protein required for the DNA integrity checkpoint pathways,chrIV,1447830,1450073,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000002907
SGD:S000028698,YNL024C-A,KSH1,"KSH (similar to the Hungarian word for ""small"")",?,Essential protein suggested to function early in the secretory pathway,chrXIV,586602,586820,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000028698
SGD:S000005096,YNL152W,INN1,required for INgressioN,?,Essential protein that associates with contractile actomyosin ring,chrXIV,346313,347542,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000005096
SGD:S000005820,YOR294W,RRS1,Regulator of Ribosome Synthesis,?,Essential protein that binds ribosomal protein L11,chrXV,868340,868951,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000005820
SGD:S000001730,YKR022C,NTR2,NineTeen complex Related protein,?,Essential protein that forms a dimer with Ntr1p,chrXI,482171,483139,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000001730
SGD:S000004416,YLR424W,SPP382,Suppressor of PrP38 #2,CCF8|mRNA splicing protein SPP382|NTR1,Essential protein that forms a dimer with Ntr2p,chrXII,973395,975521,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000004416
SGD:S000001094,YHR052W,CIC1,Core Interacting Component,NSA3,Essential protein that interacts with proteasome components,chrVIII,210848,211978,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000001094
SGD:S000005674,YOR148C,SPP2,Suppressor of PrP,?,Essential protein that promotes the first step of splicing,chrXV,608640,609197,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000005674
SGD:S000003060,YGL092W,NUP145,NUclear Pore,nucleocytoplasmic transporter NUP145|RAT10,Essential protein with distinct roles in two nuclear pore subcomplexes,chrVII,337906,341859,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000003060
SGD:S000003443,YGR211W,ZPR1,Zinc finger PRotein,zinc finger-containing protein ZPR1,Essential protein with two zinc fingers,chrVII,915241,916701,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000003443
SGD:S000006311,YPR107C,YTH1,Yeast THirty kDa Homolog,cleavage polyadenylation factor RNA-binding subunit YTH1,Essential RNA-binding component of cleavage and polyadenylation factor,chrXVI,741438,742064,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000006311
SGD:S000003616,YJL080C,SCP160,S. cerevisiae protein involved in the Control of Ploidy,?,Essential RNA-binding G protein effector of mating response pathway,chrX,285558,289226,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000003616
SGD:S000005151,YNL207W,RIO2,RIght Open reading frame,protein kinase RIO2,Essential serine kinase involved in the processing of 20S pre-rRNA,chrXIV,255353,256630,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000005151
SGD:S000003066,YGL098W,USE1,Unconventional SNARE in the ER,SLT1|SNAP receptor USE1,Essential SNARE protein localized to the ER,chrVII,317342,318079,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000003066
SGD:S000004826,YMR213W,CEF1,CErevisiae homolog of cdc Five,NTC85,Essential splicing factor,chrXIII,693381,695153,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000004826
SGD:S000003576,YJL039C,NUP192,NUclear Pore,?,Essential subunit of inner ring of nuclear pore complex (NPC),chrX,368748,373799,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000003576
SGD:S000004984,YNL039W,BDP1,B Double Prime,"B""|TFC5|TFC7|TFIIIB90|transcription factor TFIIIB subunit BDP1",Essential subunit of RNA polymerase III transcription factor (TFIIIB),chrXIV,555048,556832,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000004984
SGD:S000006015,YPL094C,SEC62,SECretory,LPG14|Sec63 complex subunit SEC62,Essential subunit of Sec63 complex,chrXVI,369839,370663,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000006015
SGD:S000005780,YOR254C,SEC63,SECretory,protein-transporting protein SEC63|PTL1,Essential subunit of Sec63 complex,chrXV,805032,807023,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000005780
SGD:S000000379,YBR175W,SWD3,"Set1c, WD40 repeat protein",CPS30|SAF35,Essential subunit of the COMPASS (Set1C) complex,chrII,582408,583355,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000000379
SGD:S000002609,YDR201W,SPC19,Spindle Pole Component,?,Essential subunit of the Dam1 complex (aka DASH complex),chrIV,856317,856814,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000002609
SGD:S000001745,YKR037C,SPC34,Spindle Pole Component,?,Essential subunit of the Dam1 complex (aka DASH complex),chrXI,510910,511797,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000001745
SGD:S000002423,YDR016C,DAD1,Duo1 And Dam1 interacting,?,Essential subunit of the Dam1 complex (aka DASH complex),chrIV,478474,478758,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000002423
SGD:S000001791,YKR083C,DAD2,Duo1 And Dam1 interacting,HSK1,Essential subunit of the Dam1 complex (aka DASH complex),chrXI,596421,596822,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000001791
SGD:S000007595,YBR233W-A,DAD3,Duo1 And Dam1 interacting,?,Essential subunit of the Dam1 complex (aka DASH complex),chrII,684977,685261,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000007595
SGD:S000007604,YDR320C-A,DAD4,Duo1 And Dam1 interacting,HSK2,Essential subunit of the Dam1 complex (aka DASH complex),chrIV,1108280,1108498,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000007604
SGD:S000028421,YKL138C-A,HSK3,Helper of ASK1,?,Essential subunit of the Dam1 complex (aka DASH complex),chrXI,184803,185012,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000028421
SGD:S000003029,YGL061C,DUO1,Death Upon Overproduction,?,Essential subunit of the Dam1 complex (aka DASH complex),chrVII,388968,389711,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000003029
SGD:S000003345,YGR113W,DAM1,Duo1 And Mps1 interacting,?,Essential subunit of the Dam1 complex (aka DASH complex),chrVII,718893,719924,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000003345
SGD:S000001535,YKL052C,ASK1,Associated with Spindles and Kinetochores,?,Essential subunit of the Dam1 complex (aka DASH complex),chrXI,339668,340546,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000001535
SGD:S000001508,YKL025C,PAN3,Poly(A) Nuclease,ECM35,Essential subunit of the Pan2p-Pan3p poly(A)-ribonuclease complex,chrXI,390240,392279,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000001508
SGD:S000003547,YJL010C,NOP9,NucleOlar Protein,RNA-binding RNA processing protein NOP9,Essential subunit of U3-containing 90S preribosome,chrX,417562,419562,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000003547
SGD:S000002876,YDR468C,TLG1,T-snare affecting a Late Golgi compartment,?,Essential t-SNARE that mediates fusion of vesicles with the late Golgi,chrIV,1398026,1398700,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000002876
SGD:S000003604,YJL068C,?,?,SFGH|S-formylglutathione hydrolase,Esterase that can function as an S-formylglutathione hydrolase,chrX,313016,313915,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000003604
SGD:S000003247,YGR015C,EAT1,Ethanol AcetylTransferase,putative hydrolase,Ethanol acetyltransferase,chrVII,521090,522076,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000003247
SGD:S000002554,YDR147W,EKI1,Ethanolamine KInase,bifunctional choline kinase/ethanolamine kinase EKI1,Ethanolamine kinase,chrIV,751631,753235,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000002554
SGD:S000003239,YGR007W,ECT1,Ethanolamine-phosphate CytidylylTransferase,ethanolamine-phosphate cytidylyltransferase|MUQ1,Ethanolamine-phosphate cytidylyltransferase,chrVII,506969,507940,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000003239
SGD:S000003286,YGR054W,?,?,eIF2A,Eukaryotic initiation factor eIF2A,chrVII,596693,598621,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000003286
SGD:S000002793,YDR385W,EFT2,Elongation Factor Two,elongation factor 2,"Eukaryotic translation elongation factor 2 (eEF2, EF-2)",chrIV,1243230,1245758,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000002793
SGD:S000001269,YIL007C,NAS2,Non-ATPase Subunit,?,Evolutionarily conserved 19S regulatory particle assembly-chaperone,chrIX,342994,343656,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000001269
SGD:S000000476,YBR272C,HSM3,enHanced Spontaneous Mutability,?,Evolutionarily conserved 19S regulatory particle assembly-chaperone,chrII,746361,747803,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000000476
SGD:S000003464,YGR232W,NAS6,Non-ATPase Subunit 6,?,Evolutionarily conserved 19S regulatory particle assembly-chaperone,chrVII,953960,954646,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000003464
SGD:S000002972,YGL004C,RPN14,Regulatory Particle Non-ATPase,?,Evolutionarily conserved 19S regulatory particle assembly-chaperone,chrVII,490703,491956,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000002972
SGD:S000003141,YGL173C,XRN1,eXoRiboNuclease,chromatin-binding exonuclease XRN1|DST2|KEM1|RAR5|SEP1|SKI1,Evolutionarily-conserved 5'-3' exonuclease,chrVII,175527,180113,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000003141
SGD:S000005553,YOR027W,STI1,STress Inducible,Hsp90 cochaperone STI1,Evolutionarily-conserved Hsp90 cochaperone,chrXV,381053,382822,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000005553
SGD:S000002736,YDR328C,SKP1,Suppressor of Kinetochore Protein mutant,CBF3D|MGO1|SCF ubiquitin ligase subunit SKP1,Evolutionarily conserved kinetochore protein,chrIV,1125434,1126018,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000002736
SGD:S000002669,YDR261C,EXG2,"EXo-1,3-beta-Glucanase","glucan exo-1,3-beta-glucosidase","Exo-1,3-beta-glucanase",chrIV,977521,979209,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000002669
SGD:S000000306,YBR102C,EXO84,EXOcyst,exocyst subunit EXO84|USA3,Exocyst subunit with dual roles in exocytosis and spliceosome assembly,chrII,445062,447323,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000000306
SGD:S000005630,YOR104W,PIN2,Psi+ INducibility,?,Exomer-dependent cargo protein,chrXV,517642,518490,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000005630
SGD:S000001244,YHR201C,PPX1,?,exopolyphosphatase,Exopolyphosphatase,chrVIII,499950,501143,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000001244
SGD:S000005381,YOL021C,DIS3,homolog of S. pombe dis3 (chromosome DISjunction),exosome catalytic subunit DIS3|MTR17|RRP44,Exosome core complex catalytic subunit,chrXV,282421,285426,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000005381
SGD:S000003390,YGR158C,MTR3,MRNA TRansport,exosome non-catalytic core subunit MTR3,Exosome non-catalytic core component,chrVII,805269,806021,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000003390
SGD:S000003427,YGR195W,SKI6,SuperKIller,ECM20|exosome non-catalytic core subunit SKI6|RRP41,Exosome non-catalytic core component,chrVII,888882,889622,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000003427
SGD:S000002269,YDL111C,RRP42,Ribosomal RNA Processing,exosome non-catalytic core subunit RRP42,Exosome non-catalytic core component,chrIV,263313,264110,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000002269
SGD:S000000631,YCR035C,RRP43,Ribosomal RNA Processing,exosome non-catalytic core subunit RRP43,Exosome non-catalytic core component,chrIII,191834,193018,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000000631
SGD:S000002688,YDR280W,RRP45,Ribosomal RNA Processing,exosome non-catalytic core subunit RRP45,Exosome non-catalytic core component,chrIV,1020747,1021664,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000002688
SGD:S000003327,YGR095C,RRP46,Ribosomal RNA Processing,exosome non-catalytic core subunit RRP46,Exosome non-catalytic core component,chrVII,675671,676342,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000003327
SGD:S000005176,YNL232W,CSL4,Cep1 Synthetic Lethal,exosome non-catalytic core subunit CSL4|SKI4,Exosome non-catalytic core component,chrXIV,214923,215801,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000005176
SGD:S000005502,YOL142W,RRP40,Ribosomal RNA Processing,exosome non-catalytic core subunit RRP40|MTR14,Exosome non-catalytic core component,chrXV,55558,56280,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000005502
SGD:S000001111,YHR069C,RRP4,Ribosomal RNA Processing,exosome non-catalytic core subunit RRP4,Exosome non-catalytic core component,chrVIII,233579,234658,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000001111
SGD:S000007274,Q0130,OLI1,OLIgomycin resistance,ATP9|F0 ATP synthase subunit c|OLI3,F0-ATP synthase subunit c (ATPase-associated proteolipid),chrmt,46723,46953,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000007274
SGD:S000006020,YPL099C,INA17,INner membrane Assembly 17 kDa,AIM43|FMP14,F1F0 ATPase synthase peripheral stalk assembly factor,chrXVI,363520,364068,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000006020
SGD:S000001463,YIR024C,INA22,INner membrane Assembly 22 kDa,GIF1,F1F0 ATP synthase peripheral stalk assembly factor,chrIX,402841,403491,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000001463
SGD:S000004790,YMR178W,FPY1,FAD PYrophosphatase,?,FAD pyrophosphatase,chrXIII,618479,619303,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000004790
SGD:S000002818,YDR410C,STE14,STErile,protein-S-isoprenylcysteine carboxyl O-methyltransferase,Farnesyl cysteine-carboxyl methyltransferase,chrIV,1292372,1293091,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000002818
SGD:S000001233,YHR190W,ERG9,ERGosterol biosynthesis,bifunctional farnesyl-diphosphate farnesyltransferase/squalene synthase,Farnesyl-diphosphate farnesyl transferase (squalene synthase),chrVIII,484845,486179,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000001233
SGD:S000003703,YJL167W,ERG20,ERGosterol biosynthesis,"bifunctional (2E,6E)-farnesyl diphosphate synthase/dimethylallyltranstransferase|BOT3|FDS1|FPP1",Farnesyl pyrophosphate synthetase,chrX,105014,106072,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000003703
SGD:S000000630,YCR034W,ELO2,fatty acid ELOngation,fatty acid elongase ELO2|FEN1|GNS1|VBM2,"Fatty acid elongase, involved in sphingolipid biosynthesis",chrIII,190592,191635,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000000630
SGD:S000003173,YGL205W,POX1,?,acyl-CoA oxidase|FOX1,Fatty-acyl coenzyme A oxidase,chrVII,108158,110404,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000003173
SGD:S000004635,YMR032W,HOF1,Homolog Of cdc Fifteen,CYK2|formin-binding protein HOF1,F-BAR protein that regulates actin cytoskeleton organization,chrXIII,335298,337307,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000004635
SGD:S000004360,YLR368W,MDM30,Mitochondrial Distribution and Morphology,DSG1|SCF ubiquitin ligase complex subunit MDM30,F-box component of an SCF ubiquitin protein ligase complex,chrXII,857540,859336,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000004360
SGD:S000004214,YLR224W,UCC1,Ubiquitination of Citrate synthase in the glyoxylate Cycle,?,F-box protein and component of SCF ubiquitin ligase complexes,chrXII,586464,587573,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000004214
SGD:S000003850,YJR090C,GRR1,Glucose Repression-Resistant,CAT80|COT2|RMR3|SCF ubiquitin ligase complex subunit GRR1|SDC1|SSU2,F-box protein component of an SCF ubiquitin-ligase complex,chrX,590872,594327,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000003850
SGD:S000001308,YIL046W,MET30,METhionine requiring,ubiquitin-binding SDF ubiquitin ligase complex subunit MET30|ZRG11,F-box protein containing five copies of the WD40 motif,chrIX,268651,270573,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000001308
SGD:S000000484,YBR280C,SAF1,SCF Associated Factor,SCF ubiquitin ligase complex subunit SAF1,F-Box protein involved in proteasome-dependent degradation of Aah1p,chrII,762784,764697,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000000484
SGD:S000003740,YJL204C,RCY1,ReCYcling,?,F-box protein involved in recycling endocytosed proteins,chrX,50629,53151,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000003740
SGD:S000005255,YNL311C,SKP2,homology with human SKP2,putative SCF ubiquitin ligase complex subunit SKP2,F-box protein of unknown function,chrXIV,49397,51688,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000005255
SGD:S000001885,YFL009W,CDC4,Cell Division Cycle,SCF ubiquitin ligase complex subunit CDC4,F-box protein required for both the G1/S and G2/M phase transitions,chrVI,116145,118484,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000001885
SGD:S000002538,YDR131C,?,?,?,F-box protein subunit of SCF ubiquitin ligase complex,chrIV,716790,718460,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000002538
SGD:S000002714,YDR306C,PFU1,"Pheromone, F-box, Ubiquitination",?,F-box protein that regulates pheromone-dependent morphogenesis,chrIV,1073735,1075171,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000002714
SGD:S000004553,YML088W,UFO1,UV-F-box-HO,SCF ubiquitin ligase complex subunit UFO1,F-box receptor protein,chrXIII,92235,94241,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000004553
SGD:S000003980,YLL057C,JLP1,dnaJ-Like Protein,sulfonate dioxygenase,Fe(II)-dependent sulfonate/alpha-ketoglutarate dioxygenase,chrXII,25756,26994,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000003980
SGD:S000006173,YPL252C,YAH1,Yeast Adrenodoxin Homolog,adrenodoxin,Ferredoxin of the mitochondrial matrix,chrXVI,73363,73881,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000006173
SGD:S000005518,YOL158C,ENB1,ENteroBactin,ARN4,Ferric enterobactin transmembrane transporter,chrXV,19491,21311,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000005518
SGD:S000005343,YNR060W,FRE4,Ferric REductase,ferric-chelate reductase,Ferric reductase,chrXIV,739951,742110,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000005343
SGD:S000005908,YOR381W,FRE3,Ferric REductase,ferric-chelate reductase,Ferric reductase,chrXV,1055545,1057680,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000005908
SGD:S000004204,YLR214W,FRE1,Ferric REductase,ferric/cupric-chelate reductase,Ferric reductase and cupric reductase,chrXII,568567,570627,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000004204
SGD:S000001703,YKL220C,FRE2,Ferric REductase,ferric/cupric-chelate reductase,Ferric reductase and cupric reductase,chrXI,9091,11226,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000001703
